Date,Flow Value,Flow Value Unit,Flow Velocity(m/s),Total Value(f),Total Value(r),Total Value(d),Total Value Unit,Pressure Value(kgf/cm2),Pressure Value(mA),Pressure Max,Alarm
2025-12-29 00:00,564.9257,m3/h,1.2493,7861607.0000,0.0000,7861607.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:01,549.2826,m3/h,1.2147,7861616.0000,0.0000,7861616.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:02,563.4179,m3/h,1.2460,7861625.0000,0.0000,7861625.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:03,560.4468,m3/h,1.2394,7861634.0000,0.0000,7861634.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:04,562.3456,m3/h,1.2436,7861643.8192,0.0000,7861643.8192,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:05,562.9045,m3/h,1.2449,7861652.8192,0.0000,7861652.8192,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:06,556.4560,m3/h,1.2306,7861663.0000,0.0000,7861663.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:07,562.0572,m3/h,1.2430,7861672.0000,0.0000,7861672.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:08,573.8827,m3/h,1.2692,7861681.0000,0.0000,7861681.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:09,558.9914,m3/h,1.2362,7861691.0000,0.0000,7861691.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:10,565.5805,m3/h,1.2508,7861700.0000,0.0000,7861700.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:11,552.7196,m3/h,1.2223,7861710.0000,0.0000,7861710.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:12,547.9512,m3/h,1.2118,7861718.0000,0.0000,7861718.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:13,547.2912,m3/h,1.2103,7861728.0000,0.0000,7861728.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:14,547.9067,m3/h,1.2117,7861737.0000,0.0000,7861737.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:15,449.1972,m3/h,0.9934,7861745.0000,0.0000,7861745.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:16,453.9270,m3/h,1.0039,7861752.0000,0.0000,7861752.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:17,458.0234,m3/h,1.0129,7861760.0000,0.0000,7861760.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:18,453.7551,m3/h,1.0035,7861768.0000,0.0000,7861768.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:19,444.7474,m3/h,0.9836,7861774.8192,0.0000,7861774.8192,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:20,452.9386,m3/h,1.0017,7861783.0000,0.0000,7861783.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:21,452.9630,m3/h,1.0017,7861790.0000,0.0000,7861790.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:22,450.9060,m3/h,0.9972,7861797.0000,0.0000,7861797.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:23,444.4886,m3/h,0.9830,7861805.0000,0.0000,7861805.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:24,436.3321,m3/h,0.9649,7861811.8192,0.0000,7861811.8192,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:25,435.7128,m3/h,0.9636,7861820.0000,0.0000,7861820.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:26,442.6840,m3/h,0.9790,7861827.0000,0.0000,7861827.0000,m3,-1.2579,1.9873,10.0000,
2025-12-29 00:27,433.4079,m3/h,0.9585,7861833.8192,0.0000,7861833.8192,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:28,418.5662,m3/h,0.9257,7861841.0000,0.0000,7861841.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:29,432.0021,m3/h,0.9554,7861849.0000,0.0000,7861849.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:30,442.7755,m3/h,0.9792,7861855.0000,0.0000,7861855.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:31,447.7270,m3/h,0.9901,7861863.0000,0.0000,7861863.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:32,435.2841,m3/h,0.9626,7861870.0000,0.0000,7861870.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:33,430.3078,m3/h,0.9516,7861878.0000,0.0000,7861878.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:34,425.4822,m3/h,0.9409,7861885.0000,0.0000,7861885.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:35,427.4750,m3/h,0.9454,7861892.0000,0.0000,7861892.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:36,406.7717,m3/h,0.8996,7861899.0000,0.0000,7861899.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:37,393.6923,m3/h,0.8706,7861905.0000,0.0000,7861905.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:38,403.6589,m3/h,0.8927,7861912.0000,0.0000,7861912.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:39,399.7166,m3/h,0.8840,7861919.0000,0.0000,7861919.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:40,408.6364,m3/h,0.9037,7861926.0000,0.0000,7861926.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:41,412.6381,m3/h,0.9125,7861932.0000,0.0000,7861932.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:42,403.1251,m3/h,0.8915,7861939.0000,0.0000,7861939.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:43,403.3676,m3/h,0.8920,7861946.0000,0.0000,7861946.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:44,403.7752,m3/h,0.8929,7861953.0000,0.0000,7861953.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:45,400.0844,m3/h,0.8848,7861959.0000,0.0000,7861959.0000,m3,-1.6339,1.3857,10.0000,
2025-12-29 00:46,397.5842,m3/h,0.8792,7861965.8192,0.0000,7861965.8192,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:47,402.9417,m3/h,0.8911,7861973.0000,0.0000,7861973.0000,m3,-1.2478,2.0034,10.0000,
2025-12-29 00:48,399.8888,m3/h,0.8843,7861980.0000,0.0000,7861980.0000,m3,-1.4425,1.6918,10.0000,
2025-12-29 00:49,393.4848,m3/h,0.8702,7861986.0000,0.0000,7861986.0000,m3,-1.6305,1.3911,10.0000,
2025-12-29 00:50,278.9816,m3/h,0.6169,7861991.0000,0.0000,7861991.0000,m3,-1.6305,1.3911,10.0000,
